Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
931149 ,AL FOUZ JAMIA ENGLISH SCHOOL,MANOJ CK,Secondary School,31/03/2022,"VENGOOR VENGOOR (PO) PATTIKKAD (VIA) ,679325","0493 ,3211036",alfouzjamia@gmail.com,
930752 ,AL HARAMAIN ENGLISH SCHOOL,T M SAFIA,Senior Secondary,31/03/2024,"KUNDERPARAMBA ROAD EDAKKAD PO PUTHIYANGADI KOZHIKODE DISTT KERALA ,673005","0495 ,2390111",safiasalim@yahoo.co.in,
931162 ,AL HIND PUBLIC SCHOOL,RESEENA KADENGAL,Secondary School,31/03/2022,"PENGATTUSSERY, ERUMATHALA P.O,ALUVA,ERNAKULAM DIST.-683 112 ,683112","0484 ,2836111",reseena24@gmail.com,
930257 ,AL HUDA CENTRAL SCHOOL,Ali Kutty E,Secondary School,31/03/2025,"MALAYIL MALAPPURAM KERALA ,676553","0494 ,2615405",ealikutty@gmail.com,www.alhudacentralschool.com
930546 ,AL HUDA ENGLISH SCHOOL,NOUSHAD A,Senior Secondary,31/03/2026,"NEERKUNNAM T D M C PO ALAPPUZHA DISTT KERALA ,688005","0477 ,2283391",noushadkayamkulam@gmail.com,
930387 ,AL IHSAN ENG SCHOOL,ABUTHAHIR,Secondary School,31/03/2026,"VENGARA OK MURI PO DISTT MALAPPURAM KERALA ,676515","0494 ,2456596",principalalihsanvga@gmail.com,
930839 ,AL IRSHAD CENTRAL SCHOOL,DR SEBASTIAN JACOB,Secondary School,31/03/2024,"THECHIYAD NEELESWARAM .P.O, OMASSERY (VIA), KOZHIKODE DISTT. ,673603","0495 ,2281700",drsebastianjacob@gmail.com,
930500 ,AL ISLAH ENGLISH SCHOOL,SUPRIYA SUBRAMANIAN,Secondary School,31/03/2022,"KECHERY ERANELLUR PO THRISSUR KERALA ,680503","0488 ,5243110",supriyarajan5@gmail.com,
930129 ,AL MANAR PUBLIC SCHOOL,SADIKK A,Senior Secondary,31/03/2023,"ERATTUPETTA KOTTAYAM DIST. KERALA ,686121","0482 ,2273024",sadikk.ssharafudeen@gmail.com,
930325 ,AL MAQUAR ENG MEDIUM SCHOOL,ASHRAF P,Secondary School,31/03/2026,"NADUKANI PO PALLIVAYAL TALIPRAMBA KANNUR KERALA ,670121","0460 ,2227851",ashrafkeechery@gmail.com,
931276 ,AL NOOR MODEL SCHOOL,SUJESH NP,Secondary School,31/03/2025,"ELAYAVOOR,VARAM (PO) ,670594","0497 ,2723444",sujeshvps@gmail.com,
930960 ,"AL-AMAL PUBLIC SCHOOL, NELLIKKUZHI",MUHAMMED ALI K M,Secondary School,31/03/2025,"AL - AMAL PUBLIC SCHOOL NELLIKKUZHI. P. O KOTHAMANGALAM ERNAKULAM DIST KERALA ,686691","0485 ,2828529",kmmuhammedali@gmail.com,
930640 ,AL-AMEEN CENTRAL SCHOOL,MRS. RASIA.M,Secondary School,31/03/2025,"KAKKAZHOM PO ALAPUZHA DISTT KERALA ,688005","0477 ,04772279881",alameenkkm@rediffmail.com,www.alameencentralschool.in
930814 ,AL-AMEEN ENGLISH SCHOOL (RUN BY MANKADA ANADHA SALA SANGAM),SIYAD P P,Senior Secondary,31/03/2026,"MANKADA POST, MALAPPURAM DISTRICT, KERALA-67324 ,679324","0493 ,3237809",siyadpallipetta@gmail.com,http://www.masmankada.org
930029 ,AL-AMEEN PUBLIC SCHOOL,L LAKSHMI HARIDAS,Senior Secondary,31/03/2024,"EDAPPALLY COCHIN, DISTT ERNAKULAM KERALA ,682024","0484 ,2801034",lakshmileela60@gmail.com,
931110 ,"AL-AQSA PUBLIC SCHOOL,",MUSTHAFA P K,Secondary School,31/03/2022,"KATHIKODE, KOOLIMUTTAM P.O. THRISSUR(DISTT.) ,680691","0480 ,2846995",salamtomuthu@gmail.com,
930609 ,AL-AZHAR CENTRAL SCHOOL,PRASAD P,Senior Secondary,31/03/2026,"MALA THRISSUR DISTT KERALA ,680782","0480 ,2897505",prasadpudaya@gmail.com,
930106 ,AL-AZHAR ENGLISH MEDIUM SCHOOL,K J THRESSIAMMA,Senior Secondary,31/03/2023,"POST MANAKKODY THRISSUR KERALA ,680017","0487 ,2311679",kjthressiamma@gmail.com,
931275 ,AL-EJABA CENTRAL SCHOOL,SHAMEERA V S,Secondary School,31/03/2025,"EJABA CAMPUS NEERKUNNAM A M C. P.O ALAPPUZHA ,688005","0477 ,2283655",alejabacentralschool@outlook.com,
930983 ,AL-FALAH AMM ENGLISH SCHOOL,ASHRAF AP,Secondary School,31/03/2026,"KAKKIDIPPURAM ALANKODE P.O., MALAPPURAM DT., KERALA - 679 585 ,679585","0494 ,2650620",apakmr@gmail.com,
931292 ,AL-FALAH ENGLISH SCHOOL,ABDUL GAFOOR NALAKATH,Secondary School,31/03/2025,"VELIYANCODE P.O. ,679579","0494 ,2677270",gafoornalakath@gmail.com,
931236 ,AL-FALAH PUBLIC SCHOOL,SHIBI K M,Secondary School,31/03/2023,"PANIPRA PO, KOTHAMANGALAM, KRNAKULAM KERALA ,686692","0484 ,2252095",shibikm008@yahoo.com,
930137 ,AL-FAROOK RESIDENTIAL SCHOOL,MR. HAFISH K H,Senior Secondary,31/03/2025,"FAROOK COLLEGE P.O. KOZHIKODE ,673632","0495 ,04952443025",mail@alfarookschool.com,http://www.alfarookschool.in
930222 ,AL-FAROOQUE SCHOOL,SAGI P JOHN,Secondary School,31/03/2023,"PADAPPARAMBA PO PANG MALAPPURAM KERALA ,679338","0493 ,3242081",principalalfarooque@gmail.com,
931115 ,"AL-HIDAYATH ENGLISH MEDIUM SCHOOL, KONDOTTY",RASHEEDA O,Secondary School,31/03/2022,"THURAKKAL PO, KONDOTTY , MALAPPURAM DT, 673638 PIN, KERALA ,673638","0483 ,2715390",rasheedaodakkal@gmail.com,
930810 ,AL-IHSAN CENTRAL SCHOOL,MRS. CHANDRAMATHI AMMA V,Secondary School,31/03/2024,"AL-IHSAN ISLAMIC COMPLEX, NIRANAM NORTH P.O. THIRUVALLA, PATHANAMTHITTA DISTRICT KERALA ,689621","0469 ,04692747312",alihsancs@yahoo.com,www.alihsancentralschool.com
930440 ,AL-IRSHAD ENGLISH SCHOOL,NEJUMA PA,Senior Secondary,31/03/2022,"PO KILLIMANGALAM THRISSUR KERALA ,680591","0488 ,251932",najumarasheedwky@gmail.com,http://www.cbemangale.com
930160 ,ALAN FELDMAN PUBLIC SCHOOL,BEN P,Senior Secondary,31/03/2024,"KAZHAKUTTAM TRIVANDRUM KERALA ,695582","0471 ,2617793",rhymemak@yahoo.com,http://www.afpschool.com
930441 ,ALANGAD JAMA-ATH PUBLIC SCHOOL,C P JAYASREE,Senior Secondary,31/03/2024,"KARUMALLOOR PO ERNAKULAM KERALA ,683511","0484 ,2670591",pblcschl@yahoo.co.in,http://www.aljamath.com
930673 ,ALBAB CENTRAL SCHOOL,Jaeaharlal P M,Senior Secondary,31/03/2023,"KATTOR PO MUKANDAPURAM THRISSUR DISTT KERALA ,680702","0480 ,2875306",albabcentralschool@rediffmail.com,
930484 ,ALFEEN PUBLIC SCHOOL,Vineeta G Nair,Senior Secondary,31/03/2024,"26TH MILE PALAMPRA PO KANJIRAPPALY KOTTAYAM KERALA ,686518","0482 ,8234330",principal@alfeenpublicschool.com,
930926 ,ALHUDA PUBLIC SCHOOL,DEEPA V,Senior Secondary,31/03/2022,"11/266, PANAYIKULAM, ALANGAD (VIA), ERNAKULAM. KERALA STATE ,683511","0484 ,2671588",vdeepa44@gmail.com,
930348 ,ALIYA ARABIC ENGLISH SCHOOL,ABDUL JALEEL PERLA,Senior Secondary,31/03/2023,"PO PARAVANADUKKAM KASARAGOD DISTT KERALA ,671317","0499 ,4236539",jaleelmarthya4@gmail.com,
930856 ,ALL  SAINTS PUBLIC SCHOOL,SR JANCY RANI THOMAS,Senior Secondary,31/03/2022,"ALL SAINTA PUBLIC SCHOOL CHAYAM VITHURA.P.O NEDUMANGAD THIRUVANANTHAPURAM KERALA STATE ,695551","0472 ,2856311",allsaintspublicschool@gmail.com,
930501 ,ALL SAINTS PUBLIC SCHOOL,GEORGEKUTTY  V  L,Senior Secondary,31/03/2026,"ADOOR PO PATHANAMTHITTA DISTT KERALA ,691523","0473 ,4229422",gkvlmel@gmail.com,
930523 ,ALPHA ENGLISH MEDIUM SCHOOL,RAMAPRIYA M,Secondary School,31/03/2022,"CHERPALCHERY PALAKKAD DISTT KERALA ,679503","0466 ,2280470",ammukrishnanjali@gmail.com,
931001 ,ALPHA PUBLIC SCHOOL,KISHNAVANI V G,Secondary School,31/03/2026,"ALPHA PUBLIC SCHOOL PEROOR, PEROOR P.O KILIMANOOR ,691589","0470 ,2652575",krishnavanivg@gmail.com,
930892 ,ALPHONSA CENTRAL SCHOOL,MINI JOSEPH,Secondary School,31/03/2024,"EDAT P.O, PAYYANNUR, KANNUR DISTRICT, PIN- 670 327 ,670327","0497 ,2806381",srpreethidm707@gmail.com,
930189 ,ALPHONSA ENGLISH MEDIUM SCHOOL,GEORGE THOMAS,Senior Secondary,31/03/2025,"THAMARASSERY, DISTT KOZHIKODE, KERALA ,673573","0495 ,2223040",gchelackal@gmail.com,
930362 ,ALPHONSA ENGLISH MEDIUM SCHOOL,SR ELSY JOSEPH,Secondary School,31/03/2025,"KEEZHPALLY DISTT KANNUR KERALA ,670704","0490 ,4254063",alphonsaems@gmail.com,
930203 ,AMAL ENGLISH SCHOOL,SUBAIDABEEVI,Senior Secondary,31/03/2025,"CHAMMANUR VIA PUNNAYURKULAM THRISSUR KERALA ,679561","0487 ,2545908",nazir_salah@yahoo.com,
931207 ,AMAL ENGLISH SCHOOL,Mrs.UMAIMATH .R,Secondary School,31/03/2022,"SANTHIGRAMAM, MYLADI, ERANHIMANGAD .P .O, NILAMBUR, MALAPPURAM DIST, KERALA ,679329",",04931206600",amalschool600@gmail.com,
931156 ,AMAL PUBLIC SCHOOL,DHANYA K N,Secondary School,31/03/2022,"AZHAR NAGAR, CHALAKKAL, MARAMPALLY P.O, ALUVA, ERNAKULAM DIST. ,683107","0484 ,6547726",dhanushiju@gmail.com,
930790 ,AMALA  SCHOOL,Fr Shaji Paul CMI,Secondary School,31/03/2022,"T.V. PURAM P.O. MOOTHEDATHUKAVU ,686606","4829 ,211272",shajiepaul@gmail.com,
931175 ,AMALA MARY RANI PUBLIC SCHOOL,TINU C ALAPPATT,Secondary School,31/03/2022,"AMALA NAGAR P.O., THRISSUR ,680555","0487 ,2306970",sramalatherese@gmail.com,
930224 ,AMBIKA ENGLISH MEDIUM SCHOOL,ABC,Senior Secondary,31/03/2022,"PALAKUNNU PO BEKAL DISTT KASARGOD KERALA ,671318","0467 ,2237445",aemsplk@gmail.com,
931254 ,AMBIKA VIDYA BHAVAN,PRADEESH C S,Secondary School,31/03/2024,"AIMCOMPU, KADANAD P O ,686653","0482 ,24248120",cspradeesh1981@gmail.com,
930267 ,AMRITA  VIDYALAM,THARA R,Senior Secondary,31/03/2026,"AMRITAMAYI NAGAR VELLIMADUKUNNU, DISTT KOZHIKODE, KERALA ,673012","0495 ,2373536",avkozhi@gmail.com,
930376 ,AMRITA VIDAYALAYAM,REENA K K,Senior Secondary,31/03/2022,"ORUMANAYUR CHAVAKKAD DISTT THRISSUR KERALA ,680512","0487 ,2500162",rrenainamma@gmail.com,
931334 ,AMRITA VIDYALAYAM,MISS BINDU K DHARMAPAL,Secondary School,31/03/2023,"VAZHAPPALLY(W)P O CHANGANASSERY KOTTAYAM ,686103",",04812400822",avcssi@gmail.com,
930740 ,AMRITA VIDYALAYAM,POONAM TS,Senior Secondary,31/03/2022,"KASAD ROAD, TANUR MALAPPURAM DISTT KERALA ,676302","0494 ,2443700",avtnur@gmail.com,
930696 ,AMRITA VIDYALAYAM,C DASAN,Senior Secondary,31/03/2022,"AMRITI NAGAR PULPALLY PO WAYANAD DISTT KERALA ,673579","0493 ,6240214",cdasavpply@gmail.com,
930425 ,AMRITA VIDYALAYAM,MISS SREELATHA,Senior Secondary,31/03/2024,"THIRUVALLA PATHANAMTHITTA KERALA ,689101","0469 ,04692601813",amritavidyalayams@gmail.com,http://www.tvla.amritavidyalayam.org
930393 ,AMRITA VIDYALAYAM,DHANYA D M,Senior Secondary,31/03/2022,"TRIPPAKKUDAM MARIPPAD DISTT ALAPPUZHA KERALA ,690514","0479 ,2415899",ammasdhanya999@gmail.com,
930430 ,AMRITA VIDYALAYAM,Sarasamma C S,Senior Secondary,31/03/2023,"SOUTH PANAMANNA ROAD KANNIAMPURAM OTTAPALAM DISTT PALAKKAD KERALA ,679104","0466 ,2246326",ammassaras@gmail.com,
930611 ,AMRITA VIDYALAYAM,SHEELA,Senior Secondary,31/03/2026,"MAKKOOTTAM PUNNOL PO THALASSERY KANNUR DISTT KERALA ,670102","0490 ,2357777",avtlsy@gmail.com,http://www.saraswatimoder
930671 ,AMRITA VIDYALAYAM,SITA LAKSHMI E P,Senior Secondary,31/03/2022,"AMRITA NAGAR PANCHIKKAL AYYANTHOL THRISSUR DISTT KERALA ,680003","0487 ,2366066",avtrsr@gmail.com,
930670 ,AMRITA VIDYALAYAM,SHALINI,Senior Secondary,31/03/2025,"AMRITAGIRI ARATHUTHARA PO MANANTHAVADY WAYANAD DISTT KERALA ,670645","4935 ,241549",avmvdy@gmail.com,
930680 ,AMRITA VIDYALAYAM,Bri Thanuja K T,Senior Secondary,31/03/2022,"ARAKKILAD VATAKARA PUTHUR PO KOZHIKODE DISTT KERALA ,673104","0496 ,2523020",avvkra@gmail.com,
930496 ,AMRITA VIDYALAYAM,VIDHYA,Senior Secondary,31/03/2025,"POOKODE PO KUTHUPARAMBA KANNUR DISTT KERALA ,670643","0490 ,2362485",avkpba@gmail.com,
930676 ,AMRITA VIDYALAYAM,SAI CHITRA M,Senior Secondary,31/03/2022,"PERUVATHUR PO KOILANDY KOZHIKODE DISTT KERALA ,673620","0496 ,2621460",avmkoyilandy@gmail.com,http://www.bgscentralschool.org
930576 ,AMRITA VIDYALAYAM,SETHU MADHAVAN R,Senior Secondary,31/03/2026,"KALLARAKADVU PATHANAMTHITTA DISTT KERALA ,689645","0468 ,2325166",avptta@gmail.com,
930323 ,AMRITA VIDYALAYAM,BRAHMACHARINI  SINI,Senior Secondary,31/03/2026,"AMRITA NAGAR NEMOM VILLAGE KAIMANAM THIRUVANANTHAPURAM KERALA ,690518","0471 ,2493300",ammassini9@gmail.com,
930308 ,AMRITA VIDYALAYAM,Bhakthipriyamrita Chaitanya,Senior Secondary,31/03/2026,"KUNNUMPURAM EDAPALLY NORTH DISTT ERNAKULAM, KERALA ,682024","0484 ,2801767",avbhakthi@gmail.com,
930595 ,AMRITA VIDYALAYAM,BRI REEJA K K,Senior Secondary,31/03/2026,"KURAMPALA PANDAKM PO PATHANAMTHITTA DISTT KERALA ,689501","0473 ,4255900",avpandalam@gmail.com,bps1_brh@yahoo.com
930278 ,AMRITA VIDYALAYAM,MISS BRI.SUNITHA,Senior Secondary,31/03/2025,"VENOLI ROAD KOTEKKAD- PO PALAKKAD KERALA ,678732","0491 ,04912520639",avplkd@gmail.com,plkd.amritavidyalayam.org
930295 ,AMRITA VIDYALAYAM,BINDU,Senior Secondary,31/03/2022,"AMRITA NAGAR ATHIRAKAM KANNUR DISTT., KERALA ,670005","0497 ,2728229",avknnur@gmail.com,
930067 ,AMRITA VIDYALAYAM,GURUPRIYAMRITA CHAITHANYA,Senior Secondary,31/03/2024,"KODUNGALUR THRISSUR DIST. KERALA ,680664","0480 ,2803171",avkdlr@gmail.com,
930122 ,AMRITA VIDYALAYAM,GEETHADEVIPR,Senior Secondary,31/03/2025,"PERANBAVOOR ERNAKULAM DIST. KERALA ,683542","0484 ,2522027",avpbvr@gmail.com,
930455 ,AMRITA VIDYALAYAM,sUNITHA K,Senior Secondary,31/03/2024,"PUTHIYAKAVV K S PURAM PO KARUNAGAPPALLY KOLLAM KERALA ,690518","0476 ,2620035",avpkvu@gmail.com,
931181 ,"AMRITA VIDYALAYAM, CHERUTHURUTHY",REJULA S R,Secondary School,31/03/2022,"ATHICKAPARAMBU ROAD CHERUTHURUTHY P.O. THRISSUR - 679 531 ,679531","4884 ,264488",avsrnr@gmail.com,http://www.amritavidyalayam.org
931032 ,"AMRITA VIDYALAYAM, MANJERI",J K LAKSHMI,Secondary School,31/03/2026,"NARUKARA, MANJERI ,676121","0483 ,2765373",avmanji@gmail.com,http://www.amritavidyalayam.org
931023 ,AMRITA VIDYALAYAM-KANHANGAD,SWARNA P,Secondary School,31/03/2026,"AMRITAGIRI,KALYAN ROAD,BALLA P O ,671531","0467 ,2205462",avkngd@gmail.com,http://www.amritavidyalayam.org
930339 ,AMRUTHA PUB SCHOOL,KUNHIKANNAN K P,Secondary School,31/03/2024,"BADAGARA AMRUTHA GIRI POST PATHIYARAKARA CALICUT KERALA ,673101","0496 ,2528818",kunhikannankppr@rediffmail.com,www.bihanieducationtrust.
930809 ,ANAND BHAVAN CENTRAL SCHOOL,MRS. MAYA PANICKER,Secondary School,31/03/2024,"ANAND BHAVAN CENTRAL SCHOOL,ANCHAL,KOLLAM, KERALA,PIN 691306 ,691306","0475 ,04752276355",rafeehaneefa@yahoo.com,http://www.anandbhavancentralschool.org
931249 ,ANDULUS PUBLIC SCHOOL,MOLY BEN,Secondary School,31/03/2023,"S V MARKET.P.O, KARUNAGAPPALLY, KOLLAM, KERALA-690573 ,690573","0476 ,2625441",andulusps@gmail.com,
930177 ,ANGELS ARC ENGLISH MEDIUM SCHOOL,MRS. SOBHANA S,Senior Secondary,31/03/2025,"KALLUMMOODU KAYAMKULAM KAYAMKULAM ALAPUZHA ,690502","0479 ,04792448565",m.angelsarc@gmail.com,www.angelsarcschool.org
930784 ,ANJANEYA SARASWATHY VIDYA MANDIRAM,NEETHU  VINOD,Secondary School,31/03/2021,"VAIPUR(P.O),MALLAPPALLY, PATHANAMTHITTA, KERALA ,689588","0469 ,2680072",neethuvinod85@gmail.com,
931144 ,ANNS ENGLISH MEDIUM SCHOOL,BEENA K THOMAS,Secondary School,31/03/2022,"MEENANGADI POST 54TH MILE WAYANAD ,673591","4936 ,246800",beenoos32@gmail.com,http://www.annsenglishmediumschool.com
930038 ,ANSAR ENGLISH SCHOOL,Dr. Salil Hassan,Senior Secondary,31/03/2025,"PERUMPILAVU KARIKKAD P.O THRISSUR DIST. KERALA ,680519","4885 ,284816",principal@ansar.in,www.ansarschool.org
930953 ,ANSAR ENGLISH SCHOOL,PRADEEP K,Secondary School,31/03/2025,"KOLOLAMBA P.O., EDAPPAL VIA, MALAPPURAM DIST., KERALA STATE ,679576","0494 ,2680039",pradu1977@gmail.com,
930963 ,APEX INTERNATIONAL SCHOOL,AMRUTHA SANTHOSH,Secondary School,31/03/2026,"ODUMBRA, OLAVANNA.P.O. ,673019","0495 ,2432800",amrutha_santhosh@yahoo.com,http://www.apexinternatonalschool.org
930581 ,APEX PUBLIC SCHOOL,RAJANI P V,Senior Secondary,31/03/2026,"ERANTHIMAVCE PANNICODE PO MUKKAM KOZHIKODE DISTT KERALA ,673602","0495 ,2209922",apexpschool@gmail.com,
930530 ,APSARA PUBLIC SCHOOL,ANVAR ALI V,Senior Secondary,31/03/2025,"KOLIYADUKKAM PERUMBALA PO KASARGOD DISTT KERALA ,671317","0499 ,4237222",anvarhidaya@gmail.com,http://www.marygiri.org
930181 ,ARAFA ENGLISH SCHOOL,VASANTHA MADHAVAN,Senior Secondary,31/03/2024,"ARAFA NAGAR ATTOOR THRISSUR DISTT. KERALA ,680592","4884 ,274595",ksabdulla@gmail.com,http://www.arafatrust.org
930767 ,ARAFA PUBLIC SCHOOL,FEBINA JAMAL,Senior Secondary,31/03/2024,"PEZHAKKAPILLY P.O. MUVATTUPUZHA, ERNAKULAM DISTT., KERALA ,686674","0485 ,2813705",febinakanely@gmail.com,http://www.suprabhat.ac
930661 ,ARAVUKAD SREEDEN ENG MED SEC SCHOOL,G RETNAMMA,Secondary School,31/03/2025,"PUNNAPRA PO ALAPUZHA DISTT KERALA ,688004","0477 ,2288777",aravukad.sreedeviemss@ymail.com,
930908 ,ARCHANGEL'S SCHOOL,JINCY THOMAS,Secondary School,31/03/2025,"CHUNDA P.O. KANNIKALAM, THALIPARAMBA, KANNUR DISTT KERALA. ,670511","0498 ,5243278",jincykthomas77@gmail.com,
930893 ,ARCHBISHOP ATTIPETTY PUBLIC SCHOOL,DHANESH ANTONY,Secondary School,31/03/2025,"T.K.C ROAD, VADUTHALA P.O. KOCHI, KANAYANNOOR, ERNAKULAM, ,682023","0484 ,6588137",dhanesh_antony@yahoo.in,
