Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
2480013,"AIR FORCE SCHOOL, KALAIKUNDA",Reema Kohli,Middle Class,31/03/2013,"AIR FORCE STATION, KALAIKUNDA, DIST: MEDINIPORE (WEST), WEST BENGAL - 721303 ,721303",",03222-232081",cadmo.kkd@gmail.com,
3330210,AKSHAR THE SCHOOL,Digamber Dayal Rana,Secondary School,31/03/2023,"SANJAY NAGAR, AJAB NAGAR ,497001","0774 ,9203744440",ddrana17@gmail.com,
3330059,ALLONS PUBLIC SCHOOL,Dr. Satyajit Hota,Senior Secondary,31/03/2025,"VILL BIJABHAT BEMETARA DISTT BEMETARA CHHATTISGARH ,491335","7824 ,07824222508",allons_ps@yahoo.co.in,www.allonsps.com
3330267,ALOK INTERNATIONAL SCHOOL,DR. MANIKINKAR PATTANAYAK,Secondary School,31/03/2026,"SHOBHA VATIKA, RAJGHATTA, PO-KHARSIA, DIST-RAIGARH(C.G.) ,496661",",07762-214071",alokinternationalschool@gmail.com,http://alokinternational.org
3330361,ALPHA PUBLIC SCHOOL,MRS. MOUSUMI MUKHERJEE,Secondary School,31/03/2022,"OPP. INDIAN OIL PETROL PUMP, RAIPUR ROAD, MUNGELI ,495334",",8103608888",apsmungeli@gmail.com,http://www.apsmungeli.com
2430268,AMARPATI LIONS CITIZENS PUBLIC SCHOOL,MR. ABHIJIT BANERJEE,Secondary School,31/03/2023,"BHOLANATHPARA, DABGRAM, EASTERN BYPASS, P.O. GHOGOMALI ,734006",",03532110590",slg.citizens@gmail.com,www.alcps.in
3330277,AMBITION PUBLIC SCHOOL,Dr.Shiv Poojan Pandey,Secondary School,31/03/2026,"DHUTPUR, PANDARIYA, DISTT-KAWARDHA (C.G.) ,491559","1262 ,09993645450",ambition.pandariya@gmail.com,
3330013,AMBUJA VIDYA PEETH,SANJAY KUMAR PANDEY,Senior Secondary,31/03/2023,"VILL. & POST- RAWAN, DIST. BALODA BAZAR, BHATAPARA, ,493331","7727 ,220220",kpandeysanjay@yahoo.com,
3330067,AMIBITION ENGLISH MEDIUM SCHOOL,SHRI S MATIAPATRA,Secondary School,31/03/2013,"PITHAMPURA CHOWK KHUKSHA JANGGER CHHATTISGARH ,495668","07759 ,229204",,
3330146,AMRESH SHARMA PUBLIC SCHOOL,Rohini Rao,Senior Secondary,31/03/2024,"P.O. BSI, DHANA, DURG (C.G.) ,491001","0788 ,9893496809",principalasps@gmail.com,
2430100,AMRITA VIDYALAYAM,Gayatri H Kumar,Senior Secondary,31/03/2023,"BIDHAN NAGAR, DURGAPUR (WEST BENGAL) ,713212","0343 ,2533560",333gayatrih@gmail.com,http://www.rupys.edu.np
1530232,AMRITA VIDYALAYAM,Mousumi Patnaik,Secondary School,31/03/2025,"PLOT NO 508, ,752054","0674 ,2460130",mona.patnaik@gmail.com,http://www.odisa.amritavidyalayam.org
2430122,AMRITA VIDYALAYAM - KOLKATA,Priya Nair,Senior Secondary,31/03/2022,"BUDGE BUDGE TRUNK ROAD, NEAR 13-A BUS STAND, SARKARPOOL PO ,700143","033 ,24012333",nairpriya.g75@gmail.com,http://www.amritakolkata.org
1530079,ANAND NIKETAN,RATNAKAR REMALLI,Secondary School,31/03/2026,"LAMTAPUT POST KORAPUT DISTT ORISSA ,764081","0686 ,8272395",ratnakar009@gmail.com,www.modernenglishschool.i
1530288,ANANDA SAMVRDDHI VIDYA PIITHA,MR. TARANI SEN DURGA,Secondary School,31/03/2022,"AT-KUMUDAPALI,P.O/DISTT-JHARSUGUDA-768201 ,768201",",09938016085",hemanandgupta@hotmail.com,
3330033,ANGEL VALLEY SCHOOL,Mrs. SUMA SHEKAR,Senior Secondary,31/03/2017,"OPP. 32 BANGALOWS HOSPITAL SECTOR BHILAI CHHATTISGARH ,490009","0788 ,2242890",angelvalleybhilai@yahoo.co.in,
1530230,APARNA WORLD SCHOOL,MRS. SMITHA V NAIR,Senior Secondary,31/03/2022,"ESPL ROAD, NEAR BOXI CHOWK, ,768203","0664 ,9238180100",info@aparna.edu.in,http://www.aparna.edu.in
2430019,APEEJAY SCHOOL,PAROMITA GUHA,Senior Secondary,31/03/2023,"115 PARK STREET CALCUTTA WEST BENGAL ,700016","033 ,22298893",ritachatterjee@apeejaygroup.com,
2430091,APEEJAY SCHOOL,RITA CHATTERJEE,Senior Secondary,31/03/2023,"BG-180 SECTOR II KOLKATA WEST BENGAL ,700091","033 ,23215151",ritachatterjee@apeejaygroup.com,
1530307,APEEJAY SCHOOL BHUBANESWAR,DR. SASMITA TRIPATHY,Secondary School,31/03/2023,"NEAR DURGA MANDAP, GHATIKIA ,751003",",7077006609",sasmitatripathy@apeejaygroup.com,www.apeejayschool.in
1530119,APEX ENGLISH MEDIUM SCHOOL,MR. ANIL KUMAR RAY,Senior Secondary,31/03/2024,"AT LALITESWAR NAGAR (BAIDYARAJPUR), P.O. DEVIDWAR, DIST. JAJPUR, ORISSA-755007 ,755007","6728 ,222587",rayaneel4@gmail.com,http://www.aemsodisha.com
2430125,ARAMBAGH VIVEKANANDA ACADEMY,ANIRUDH PANDEY,Senior Secondary,31/03/2023,"BASANTAPUR SPORTS COMPLEX, WARD NO.-11, PO-ARAMBAGH, DIST-HOOGHLY ,712601","3211 ,258900",avacademy01@gmail.com,http://www.arambaghvivekanandaacademy.com
3330142,ARICENT PUBLIC SCHOOL,DR  S K MAHARANA,Senior Secondary,31/03/2022,"MAIN ROAD , PATEL PALI,NH-216,RAIGARH ,496001","7762 ,233390",sujatasusanta1964@gmail.com,
3330500,ARIHANT ACADEMY,MISS UPASANA VAIDYA,Secondary School,31/03/2024,"KHASRA NO. 842, 843/4, 843/5, AT VILL- BAGHMARA, TEHSIL- BALOD, DISTRICT- BALOD, CHHATTISGARH ,491226",",6232100307",arihantacademybalod@gmail.com,www.arihantacademy.in
1530060,ARMY PUBLIC SCHOOL,A V NARASIMHAM,Senior Secondary,31/03/2023,"GOPALPUR GOLABANDHA GANJAM ORISSA ,761052","0120 ,282490",pallotti_residential@yahoo.com,http://www.pallottischool.com
2430027,ARMY PUBLIC SCHOOL,MRS SURENDER KAUR,Senior Secondary,31/03/2025,"SUKNA DISTT. DARJEELING WEST BENGAL ,734424","01482 ,350",stmary1983@gmail.com,
2430015,ARMY PUBLIC SCHOOL,MUSHAHIDUN NABI,Senior Secondary,31/03/2025,"P.O. BENGDUBI DISTT DARJEELING WEST BENGAL ,734424","0353 ,2480238",m.nabi35@yahoo.com,
2430045,ARMY PUBLIC SCHOOL,TENZING SHERPA,Senior Secondary,31/03/2025,"KATA PAHAR P.O. GHOOM DISTT. DARJEELING WEST BENGAL ,734102","0354 ,2005692",zingtenx@gmail.com,
2430044,ARMY PUBLIC SCHOOL,Mrs. ANITA BHATTACHARYA,Senior Secondary,31/03/2025,"BALLYGUNG MAINDAN CAMP CALCUTTA WEST BENGAL ,700019","033 ,24866629",apskolkata@gmail.com,
2430054,ARMY PUBLIC SCHOOL,JUDHA BABU,Secondary School,31/03/2025,"BAGRAKOT P.O BAGRAKOT DISTT JALPAIGURI WEST BENGAL ,734501","05612 ,AF/4371",vktftp@rediffmail.com,
2430048,ARMY PUBLIC SCHOOL,UPASANA YADAV OFFG ,Senior Secondary,31/03/2026,"BINAGURI P O BINAGURI DISTT JALPAIGURI WEST BENGAL ,735232","3563 ,259446",upasana_navin@yahoo.com,
2430084,ARMY PUBLIC SCHOOL,SHOVA PRADHAN,Secondary School,31/03/2025,"KALIMPONG DURBIN DARA PO KALIMPONG DARJEELING WEST BENGAL ,768028","0355 ,283647",shovapradhan33@gmail.com,
2430256,ARMY PUBLIC SCHOOL,Namrata Pareek,Senior Secondary,31/03/2025,"PANAGARH, PO ARJUN PUR DISTT- BURDWAN, C/O 99 APO, WEST BENGAL ,713402","0343 ,2513216",pn.pareek76@gmail.com,
2430055,ARMY PUBLIC SCHOOL,Mr. MRS NEELIE PAUL VERGHESE,Senior Secondary,31/03/2025,"P.O. BARRACKPORE NORTH GATE BARRACKPORE CANTT DISTT 24 PARAGNA WEST BENGAL ,743101","033 ,25932317",army_sch@rediffmail.com,
3320091,ARUNDHATI GOVT HIGHER SEC SCHOOL,,Senior Secondary,31/03/2004,"ARANG RAIPUR CHHATTISGARH ,493441",",",,
3330366,ARUNODAYA PUBLIC SCHOOL,MRS. NILIMA RATH,Senior Secondary,31/03/2024,"KHASRA NO. 3096/1 P H NO 1 AT VILLAGE KARLI ,494441",",07856225247",principal@arunodaya.ac.in,
1530108,ARYAN PUBLIC SCHOOL,MR. SANJAY KUMAR PATTNAYAK,Secondary School,31/03/2026,"PO: KALASANDHAPUR, ASKA, DIST: GANJAM, ODISHA ,761111","0682 ,9692348898",aryan109117@rediffmail.com,http://www.apsaska.in
2430153,ASANSOL NORTH POINT SCHOOL,RAJIV SHAW,Senior Secondary,31/03/2024,"NH-2, CHANDA MORE, KALIPAHARI, JAMURIA, ASANSOL ,713339","0341 ,2343794",rajiv.skv@gmail.com,
2430002,ASHOK HALL GIRLS HIGHER SEC SCHOOL,Ms. Atrayee Sengupta,Senior Secondary,31/03/2024,"5 A SARAT BOSE ROAD CALCUTTA WEST BENGAL-700020 ,700020","033 ,22871271",p.ahghss@ashokhall.net,
3330191,ASHOKA PUBLIC SCHOOL,JASHABANTA MISHRA,Senior Secondary,31/03/2023,"RAIPUR ROAD SARANGAH, RAIGARH ,496445","7768 ,233905",jashbant.26@gmail.com,
2430166,ASIAN INTERNATIONAL SCHOOL,JOYITA MAJUMDER,Senior Secondary,31/03/2025,"NEW KOLORAH, NH-6, ALAMPUR, DOMJUR, HOWRAH, WEST BENGAL. ,711302","033 ,26690097",principal@aisedu.org,
3330251,ATHENA WORLD SCHOOL,MR. SANJAY SHARMA,Senior Secondary,31/03/2022,"VILLAGE BOTHLI NEAR AMLESHWAR, MAHADEO GHAT ROAD ,491111",",9329004500",enquiry@athenaworldschool.com,http://www.athenaworldschool.com
1530056,ATOMIC ENERGY CENTRAL SCHOOL,SH J PATTANAYAK,Senior Secondary,31/03/2022,"OSCOM IRE HOUSING COMPLEX POST MATIKHALO DISTT GANJAM ORISSA ,761045",",",ed-irel@x400.nicgw.nic.in,
1530129,AUM VALLEY SCHOOL,BADRINATH MISHRA,Senior Secondary,31/03/2026,"AT : CHARBHATA, PO : TITILAGARH ,767033","6655 ,222282",aumbadri@gmail.com,
2430034,AUXILIUM CONVENT SCHOOL,INNOCENTIA JOJO,Secondary School,31/03/2023,"NEW CHUMTA P.O. VIA SUKNA SILIGURI DISTT. DARJEELING WEST BENGAL ,734701","0353 ,2575397",auxnewschool@yahoo.in,
2430004,B D M INTERNATIONAL,VIJAYA CHAUDHURI,Senior Secondary,31/03/2024,"PRATAPGARH PO NARENDRAPUR KOLKATA WEST BENGAL ,700103","033 ,24351645",bdmi.vc@gmail.com,http://www.bdmi.org
3330012,B S P SENIOR SEC SCHOOL,SHRI A B PALIA,Senior Secondary,31/03/2017,"SECTOR-VI BHILAI NAGAR DT DURG CHHATTISGARH ,490006",",4993",sailbsp@vsnl.com,
3330003,B S P SR SEC SCHOOL,Arvind Kumar Varma,Senior Secondary,31/03/2022,"SECTOR X BHILAI NAGAR DURG CHHATTISGARH ,490006","0788 ,2855411",arvindkumarverma@sail-bhilaisteel.com,
3330035,B S P SR SEC SCHOOL NO.2,S K BAHADUR,Senior Secondary,31/03/2025,"SECTOR 6 BHILAI DURG CHHATTISGARH ,490001","0788 ,2858868",principalsss26@gmail.com,http://www.manavschool.co
2430193,B.B.I.T PUBLIC SCHOOL,MR. SANDIP KUMAR SINHA,Senior Secondary,31/03/2022,"NISCHINTAPUR, BUDGE BUDGE, ,700137","033 ,9748493158",executivedirector@bbit.edu.in,http://bbitpublicschool.com/
2480021,B.N.R. EXCELLENCE ACADEMY,SUBODH CHANDRA RANA,Senior Secondary,31/03/2022,"KHARAGUR, DISTT. PASCHIM MEDINIPUR, WEST BANGAL PIN-721301 ,721301","0322 ,2228406",scrana81@gmail.com,
2430025,B.S.F. RESIDENTIAL SCHOOL,DEBYANI SAHA,Senior Secondary,31/03/2024,"KADAMTALA DARJEELING WEST BENGAL ,734433","0353 ,2580820",dsahanbu@gmail.com,
2430147,B.S.S. CENTRAL PUBLIC SCHOOL,MR. PROSENJIT ROY,Senior Secondary,31/03/2024,"WILL COX RD, BELGUMA, CHAKDAH, PURULIA, WEST BENGAL 723101 ,723102","3252 ,03252226268",bsscps_38@yahoo.com,http://www.bsscps.org/
3330005,BAILADILA IRON ORE PROJECT S SEC SCH,R S GAUTAM,Senior Secondary,31/03/2022,"KIRANDUL DANTEWADA CHHATTISGARH ,494556","7857 ,255254",gautambiom@gmail.com,http://www.ppischool.com/
3330083,BAL BHARATI PUBLIC SCHOOL,Shalabh Nigam,Senior Secondary,31/03/2022,"NTPC, TEHSIL - SIPAT, DIST. BILASPUR ,495558","7752 ,246607",s_nigs@yahoo.com,
1530061,BALANGIR PUBLIC SCHOOL,SARITA PATNAIK,Senior Secondary,31/03/2023,"AT/PO BALANGIR DIST BALANGIR ORISSA ,767001","6652 ,232369",,
1530069,BALIKA VIDYALAYA,SANTOSH KUMAR HOTA,Senior Secondary,31/03/2023,"KHETRAJPUR SAMBALPUR ORISSA ,768003","0663 ,2544127",SANTOSH_HOTA12@YAHOO.COM,
2480024,BANIMANDIR RAILWAY H.S. SCHOOL,.,Senior Secondary,31/03/2024,"P.O. & P.S. PRADHAN NAGAR, SUB. DIV: SILIGURI, DISTT. DARJEELING, WEST BENGAL-734003 ,",",",,
2430289,BANIMANDIR RURAL PUBLIC SCHOOL,DR. SUPRATIM BERA,Middle Class,31/03/2024,"AT BANIMANDIR BUS STOP, VILL+ P.O-JUKHIA BAZAR. P.S-BHUPATINAGAR. ,721430",",03220270186",banimandircbseschool@gmail.com,www.banimandirruralpublicschool.org
2430132,BARASAT INDIRA GANDHI MEMORIAL HIGH SCHOOL,SUNANDA JAISWAL,Senior Secondary,31/03/2023,"18, JESSORE ROAD(SOUTH), RATHTALA, ,700124","033 ,25522591",sunanditya1968@gmail.com,http://www.bigmhs.org
2430081,BD JAIN MODERN SCHOOL,AMRITA KUNDU ADHIKARI INCHARGE,Senior Secondary,31/03/2024,"BINAPATTI EAST KHAGRA BARI PO & DISTT CAOCH BEHAR WEST BENGAL ,736101","3582 ,228221",,
2430237,BEACHWOOD SCHOOL,MRS. NITA ROY MAJUMDER,Senior Secondary,31/03/2026,"SATYAJIT RAY SARANI, CITY CENTRE, DURGAPUR, WEST BENGAL ,713216",",9434014489",akanksha6321@gmail.com,http://www.beachwoodschool.org
3330108,BEACON ENGLISH MEDIUM HIGHER SECONDARY SCHOOL,NURAM SINGH,Senior Secondary,31/03/2022,"KORBA, KATGHORA SHAKTI NAGAR, CHHATISGARH. ,495452","7815 ,275143",noormasih.10@gmail.com,
1530228,BELIEVERS CHURCH RESIDENTIAL SCHOOL,MRS. NIMI MOL ABRAHAM,Senior Secondary,31/03/2023,"BELIEVERS CHURCH RESIDENTIAL SCHOOL, RAMPUR COLLIERY P O, BRAJRAJNAGAR ,768225",",06645213091",BCRSODISHA@OUTLOOK.COM,http://www.bcrsodisha.org
1530227,BETHANY CONVENT SCHOOL,SUBHASINI,Secondary School,31/03/2025,"NAGENPALI ROAD, TORA ,768040","6646 ,08895378507",sheelasubhasini@gmail.com,
2430056,BETHANY MISSION SCHOOL,JOHNNY EMMANUEL,Senior Secondary,31/03/2024,"P.O RUPAHAR RAIGANJ DISTT UTTAR DINAJPUR WEST BENGAL ,733123","0352 ,222665",bethanyrnjud@gmail.com,NIL
2430200,BETHANY SCHOOL SULANTU,Sh. leena,Secondary School,31/03/2024,"VILLAGE: SULANTU, P.O: PARULIA, DISTRICT: BURDWAN ,713513","3454 ,264230",bethantsulantu06@rediffmail.com,
3330041,BETHANY VIDYALAYA,Sister Prakash,Senior Secondary,31/03/2025,"BORSI DURG CHHATTISGARH ,491001","0788 ,2344141",bethvid3330041@gmail.com,
2430155,BHAKTIVEDANTA NATIONAL SCHOOL,MR. PRADIP DEBNATH,Senior Secondary,31/03/2023,"MAYAPUR, NADIA DISTRICT, WEST BENGAL ,741313","3472 ,03472245007,",bvnschool.2003@gmail.com,http://www.mayapurbvnschool.com
3330244,BHARAT MATA SENIOR SECONDARY SCHOOL,MISS V.M.PUSHPALATHA,Senior Secondary,31/03/2023,"BHARAT MATA SENIOR SECONDARY SCHOOL, TATIBANDH, RAIPUR. 492099 ,492099","0771 ,07712572485",jmjbms@rediffmail.com,www.jmjbharatmata.com
3330356,BHARAT MATA SR.SEC.SCHOOL,MISS THOMASAMMA PEDAKOTLA,Secondary School,31/03/2022,"BHARAT MATA SR.SEC.SCHOOL, SECTOR 26, RAKHI, NAYA RAIPUR, C.G. ,492015",",7354102283",bharatmatanayaraipur@gmail.com,http://www.bharatmataschoolnayaraipur.com
2430020,BHAVAN'S GANGBUX KANORIA VIDYAMANDIR,Sujata Ghosh,Senior Secondary,31/03/2023,"FA/III SALT LAKE CALCUTTA WEST BENGAL ,700097","033 ,23351249,9433072595",bgkv_kolkata@yahoo.com,
2430082,BHAVAN'S NETAJI SUBHASH CHANDER BOSE,Subhra Chatterjee,Senior Secondary,31/03/2024,"VIDYA NIKETAN AZAD HIND NAGAR HATIBERIA PO HALDIA TOWNSHIP PURBA MEDINIPUR, DISTT MIDNAPUR, WEST BENGAL ,721607","3224 ,265315",mailtosubhra@yahoo.co.in,
3330156,BHAVANS R.K. SARDA VIDYA MANDIR,Amitava Ghosh,Senior Secondary,31/03/2023,"GSI-TI VIA MCF SADDU-BARONDA ROAD, VILL: BARONDA ,493111","0771 ,6619701",principal@bvbraipur.org,bvbraipur.g
3330194,BHILAI NAIR SAMAJAM ENGLISH MEDIUM HIGHER SECONDARY SCHOOL,PADMAJA NAND KUMAR,Senior Secondary,31/03/2023,"SECTOR-8, BHILAI, DURG CHHATTISGARH ,490006","0788 ,2276913",bnsschool76@gmail.com,
3330229,BHILAI PUBLIC SCHOOL,SHAKUNTALA YADEV,Senior Secondary,31/03/2024,"MARODA, BHILAI ,490001","0788 ,2265630",bpsbhilai@gmail.com,
2430005,BHOLANANDA NATIONAL VIDYALAYA,SWATI RUDRA,Senior Secondary,31/03/2023,"55-56 BARRACK ROAD BARRACKPORE 24 PARGANAS (NORTH) WEST BENGAL ,743101","033 ,25940454",bnv_bkp2005@yahoo.co.in,http://www.bholananda.org
