Affiliation Number,Name,Head/Principal Name,Status,Affiliated unto,Address,Phone no.,Email,Website
2730444,BLOOMING DALES PUBLIC SCHOOL,URMILA DEVI,Secondary School,31/03/2022,"RAJENDRA PARK NEAR LOKESH CINEMA NANGLOI DELHI ,110041","011 ,65456504",bloomingdalespublicschool@yahoo.co.in,
2730174,BOSCO PUBLIC SCHOOL,SUJATA CHAWDHRY,Senior Secondary,31/03/2023,"SUNDER VIHAR PASCHIM VIHAR NEW DELHI ,110041","011 ,25284343",principal@boscopublicschool.com,
2730450,BRAHMA SHAKTI PUBLIC SCHOOL,GITA DEVI,Senior Secondary,31/03/2024,"BHARAT VIHAR BEGUMPUR DELHI ,110041","011 ,65556664",brahmashaktipublicschool2012@gmail.com,
2730582,BRAIN INTERNATIONAL SCHOOL,SEEMA BEHL,Senior Secondary,31/03/2024,"H BLOCK VIKAS PURI, WEST DELHI ,110018","011 ,28544328",behl_seema50@hotmail.com,
2730565,BRILLIANT'S CONVENT,Reeta Hashia,Senior Secondary,31/03/2024,"WEST ENCLAVE, PITAMPURA, DELHI-110034 ,110034","011 ,27028625",reetahashia_bcs@rediffmail.com,
2730535,BSM PUBLIC SCHOOL,RENU MATHUR,Senior Secondary,31/03/2026,"SULTAN PUR ROAD, ,110081","011 ,65257211",bsmpublicschool.karala@gmail.com,http://www.chinmayamission.g
2730763,BUDS PARADSE SCHOOL,Mr.RAJIV KUMAR DUBEY,Secondary School,31/03/2024,"135/7/2, PUSTA ROAD, SANT NAGAR, BURARI, DELHI-110084 ,110084",",8860601789",onlinebps@gmail.com,
2788002,BUTLER MEMORIAL GIRLS SR SEC SCHOOL,Dhiraj Khan    School Incharge,Senior Secondary,31/03/2013,"17 BOULEVERD ROAD DELHI ,110054","011 ,23968530",dhirajkhan10@gmail.com,
2778027,C L BHALLA D A V SR SEC SCHOOL,ARUN ARYA,Senior Secondary,31/03/2023,"JHANDEWALAN NEW DELHI ,110005","011 ,23546022",clbdav23@yahoo.com,
2730250,C L BHALLA DAYANAND MODEL SCHOOL,SHARDA RANI,Senior Secondary,31/03/2024,"PLOT NO 7 JHANDEWALAN, DISTT CENTRAL DELHI, NEW DELHI ,110005","011 ,23527644",sharda.oberoi1811@gmail.com,
2730164,C R P F PUBLIC SCHOOL,NIDHI CHAUDHARY,Senior Secondary,31/03/2025,"SECTOR XIV ROHINI, DISTT NORTH WEST DELHI, DELHI ,110085","011 ,27562305",nidhichaudhary14@gmail.com,
2730576,C R SAINI PUBLIC SCHOOL,-,Senior Secondary,31/03/2022,"E-BLOCK, LAXMI PARK, SAINI VIHAR, NANGLOI, DISTT WEST DELHI, DELHI-41 ,110041","0161 ,4132622662",rodhemsell@yahoo.com,http://www.auroville.org.in
2762001,C.R.DASS GOVT.SARVODAYA GIRLS,SHASHI KANTA DASS,Senior Secondary,31/03/2023,"SR SEC SCHOOL NEW SEELAMPUR DELHI ,110053","011 ,22172528",kishwer.jahan1@gmail.com,
2762035,C.RAJAGOPALACHARI GOVT.,SUDHIR BHUSAN TRIPATHI ,Senior Secondary,31/03/2022,"SARVODAYA G.S.S.SCH. NO 2 GHONDA DELHI ,110053","011 ,22565874",sbtripathi1958@gmail.com,
2730051,CAMBRIDGE FOUNDATION SR SEC SCHOOL,ANITA PURI,Senior Secondary,31/03/2024,"G-8 AREA RAJOURI GARDEN EXTN NEW DELHI ,110027","011 ,41001113",principal@cambridgefoundationschool.in,
2730556,CANTERBURY PUBLIC SCHOOL,ms. usha mudgan,Secondary School,31/03/2025,"B- BLOCK, YAMUNA VIHAR, DELHI ,110053","011 ,22917165",stjoseph_eng08@rediffmail.com,
2730832,CENTRAL ACADEMY INTERNATIONAL SCHOOL,Mrs. Garima Pandey,Secondary School,31/03/2023,"SECTOR 10 DWARKA OPPOSITE METRO LINE, NEW DELHI 11007 ,110075",",01140072828",ca_affiliation@rediffmail.com,http://www.centralacademyschools.org
2730329,CH JASWANT LAL PUBLIC SCHOOL,SMT KIRAN,Secondary School,31/03/2020,"13/77 PUNJABI BAGH NEW DELHI ,110026",",25430914",nhps_np@yahoo.co.in,http://www.newhizonps.com
2750114,CH. BANWARI LAL GOVT. SARVODAYA,SUMAN SHARMA,Senior Secondary,31/03/2023,"CO-EDN SCHOOL WAZIR PUR VILLAGE DELHI ,110052","011 ,27215661",1411035.sv@gmail.com,
2730672,CHAND RAM PUBLIC SR. SEC. SCHOOL,AMBIKA SHARMA,Senior Secondary,31/03/2026,"NANGAL THAKRAN DELHI -39 ,110039","011 ,27751912",CRPSSCHOOL@GMAIL.COM,
2730660,CHHOTU RAM PUBLIC SCHOOL,MR. HARENDER KUMAR YADAV,Senior Secondary,31/03/2024,"OPP BANK OF INDIA MAIN ROAD BAKHTAWARPUR DELHI --36 ,110036","011 ,011-27722507,",crpsdelhi@yahoo.com,http://www.crpsdelhi.in
2730114,CHOWGULE PUBLIC SCHOOL,POOJA SALPEKR,Senior Secondary,31/03/2023,"D-4 FAIZ ROAD KAROL BAGH, DISTT CENTRAL DELHI, NEW DELHI ,110005","011 ,23522370",pooja.salpekar@gmail.com,
2730778,CIAT CONVENT SCHOOL,MRS. ANITA KUMARI,Secondary School,31/03/2025,"VPO KANJHAWALA ,110081",",9953050866",ciatschool1998@gmail.com,www.ciatschool.com
2730290,CITIZEN MODEL  SCHOOL,SUNILA RANI,Senior Secondary,31/03/2025,"PHASE 2 BUDH VIHAR DELHI ,110041","011 ,27532221",sunilarani201@gmail.com,http://www.sduirs.com
2730536,CM MODEL SCHOOL,SUDHA TRIPATHI,Senior Secondary,31/03/2022,"J-1, VISHWA NATH MANDIR, BUDH VIHAR, PHASE I, DELHI ,110041","011 ,27532619",reply_cmms@yahoo.co.in,
2730169,COLUMBIA FOUNDATION SR SEC SCHOOL,DEEPSHIKHA DANDU,Senior Secondary,31/03/2023,"D BLOCK CREATIVITY NAGAR VIKAS PURI, DISTT WEST DELHI, NEW DELHI ,110018","011 ,45660811",vdeepshikha@gmail.com,http://www.sgrrsrinagar.com
2778040,COMMERICAL SR SEC SCHOOL,Pradeep Kumar,Senior Secondary,31/03/2021,"24 DARYAGANJ NEW DELHI ,110002","011 ,23271235",commercial.school2127086@yahoo.com,
2730012,CONVENT OF JESUS & MARY SCHOOL,JANET,Senior Secondary,31/03/2019,"BANGLA SAHIB MARG NEW DELHI ,110001","011 ,23747061",srjanetrjm@gmail.com,airfcebalbharatischool.com
2730196,CRESCENT PUBLIC SCHOOL,MR. SUNIL MAINI,Senior Secondary,31/03/2024,"D BLOCK SARASWATI VIHAR PITAMPURA DELHI ,110034","011 ,27016688,",crescentpublicschool@gmail.com,http://www.crescentpublicschool.in
2730218,D A V PUBLIC SCHOOL,RAJBIR KAUR,Senior Secondary,31/03/2023,"SECTOR VII ROHINI, DISTT NORTH WEST DELHI, DELHI ,110085","011 ,27043298",xsrajbirkaur@gmail.com,
2730260,D A V PUBLIC SCHOOL,Rashmi Raj Biswal,Senior Secondary,31/03/2024,"PUSHPANJALI ENCLAVE PITAM PURA, DISTT NORHT WEST DELHI, DELHI ,110034","011 ,27018261",davpushpanjali1989@gmail.com,www.davpushpanjali.com
2770002,D A V SENIOR SECONDARY SCHOOL,DR N S YADAV,Senior Secondary,31/03/2024,"SAMAIPUR BADLI, DISTT NORTH WEST DELHI, DELHI-110042 ,110042","011 ,27292733",,
2778024,D A V SR SEC SCHOOL,Satyavir Singh,Senior Secondary,31/03/2022,"CHITRAGUPTA ROAD NEW DELHI ,110055","011 ,23625209",davssscgr@yahoo.co.in,
2778006,D C M BOYS SR SEC SCHOOL,SHIV CHARAN SINGH,Senior Secondary,31/03/2021,"KISHAN GANJ DELHI ,110006","011 ,23615513",dcmschool@gmail.com,
2788004,D C M GIRLS SR SEC SCHOOL,SHAKUNTLA RANI,Senior Secondary,31/03/2021,"KISHAN GANJ DELHI ,110006","011 ,23619919",dcmgirls1234@yahoo.in,
2778050,D I KHAN BHARATRI SABHA SR SEC SCH,REKHA RANA,Senior Secondary,31/03/2022,"NEW RAJINDER NAGAR NEW DELHI ,110060","011 ,28743172",rekharana67@yahoo.co.in,
2730420,D S MEMORIAL PUBLIC SCHOOL,REKHA YADAV,Senior Secondary,31/03/2022,"EXTN 2-C, NANGLOI,DISTT WEST DELHI, DELHI ,110041","011 ,25947411",rao.aadi@yahoo.co.in,
2730455,D S SAINIK MODEL SCHOOL,ASHA RANI DABAS,Secondary School,31/03/2022,"SWARN PARK MUNDKA DELHI ,110041","011 ,64599977",OP_LAKRA_SCHOOL@YAHOO.CO.IN,matha_school@yahoo.com
2778051,D T E A SR SEC SCHOOL,CHITRA VASAGAM,Senior Secondary,31/03/2022,"PUSA ROAD NEW DELHI ,110005","011 ,25818581",chitrav1961@gmail.com,
2778031,D T E A SR SEC SCHOOL,GAYATHRI V K,Senior Secondary,31/03/2022,"MANDIR MARG NEW DELHI ,110001","011 ,23363114",gayathrinew2011@gmail.com,
2730521,D V PUBLIC SCHOOL,Poonam Singh,Senior Secondary,31/03/2024,"F 205, PHASE I VIJAY NAGAR ROHINI DELHI ,110085","011 ,27044360",dvpublicschool89@gmail.com,
2730842,D. K. CONVENT SCHOOL,MRS. BHARTI JOSHI,Secondary School,31/03/2023,"B-BLOCK, GALI NO. 110, SANT NAGAR, BURARI, DELHI-110084 ,110084",",9871401476",dkconventschool@yahoo.com,http://www.dkconventschool.com
2730602,D.A.V.CENTENARY PUBLIC SCHOOL,BIMLESH JHA,Senior Secondary,31/03/2022,"D.A.V.CENTENARY PUBLIC SCHOOL, SECTOR B-4,POCKET-5,DDA PROJECT NARELA DELHI ,110040","011 ,27784139",bjha.dav@gmail.com,
2730651,DAFFODIL PUBLIC SCHOOL,R P TYAGI,Senior Secondary,31/03/2026,"PREM COLONY, BAWANA ROAD, NARELA DELHI-110040 ,110040","011 ,65179836",rptyagi92122@gmail.com,http://daffodilpublicschool.in/
2730117,DARBARI LAL D A V MODEL SCHOOL,REENA RAJPAL,Senior Secondary,31/03/2018,"BN BLOCK SHALIMAR BAGH DELHI ,110052","011 ,27473634",reenarajpal@rediffmail.com,http://www.dldavsb.org
2730116,DARBARI LAL D A V MODEL SR.SEC SCH,ANITA WADEHRA,Senior Secondary,31/03/2023,"ND BLOCK VISHAKHA ENCLAVE PITAMPURA DELHI ,110034","011 ,47568800",anitawadehra8@gmail.com,http://www.dldavpp.com
2730364,DARSHAN ACADEMY,A DAVID,Senior Secondary,31/03/2022,"KIRPAL BAGH SANT KIRPAL SINGH MARG, DISTT NORTH WEST DELHI, DELHI ,110009","011 ,27465800",principal.delhi@darshanacademy.org,www.thegurukul.in
2778013,DAU DAYAL ARYA VEDIC SR SEC SCHOOL,BHASKER DUTT DWIVEDI,Senior Secondary,31/03/2025,"NAYA BANS DELHI ,110006","011 ,23991235",daudayal.1928@gmail.com,
2730292,DAV PUBLIC SCHOOL,Kusum Bhardwaj,Senior Secondary,31/03/2023,"ASHOK VIHAR PHASE IV DELHI ,110052","011 ,47510805",kusumbhardwaj123@yahoo.com,http://davashokvhr.com
2730542,DAV PUBLIC SCHOOL,DEVIKA DUTT,Secondary School,31/03/2025,"KHERA KHURD ,110082","011 ,27844245",devi_ratan9@yahoo.com,
2730478,DAVID MODEL SECONDARY SCHOOL,VINAY CHAUDHARY,Senior Secondary,31/03/2024,"MAIN ROAD TUKHMIRPUR, DISTT NORTH EAST DELHI, DELHI ,110094","011 ,22969090",davidschool2007@yahoo.com,
2788020,DAYANAND MODEL GIRLS SR SEC SCHOOL,INDU KHURANA,Senior Secondary,31/03/2018,"MANDIR MARG NEW DELHI ,110001","011 ,23363725",khuranaindu34@gmail.com,
2730712,DE INDIAN PUBLIC SCHOOL,SEEMA AWASTHI,Senior Secondary,31/03/2023,"POCKET-11, SECTOR-24, ROHINI ,110085","011 ,27050252",seema.awasthi1@gmail.com,http://www.dipsrohini.in
